FieldNumber,MyCards1,MyCards2,MyCards3,MyCards4,MyCards5,MyCards6,MyCards7,MyCards8,MyCards9,MyCards10,YourCards1,YourCards2,YourCards3,YourCards4,YourCards5,YourCards6,YourCards7,YourCards8,YourCards9,YourCards10,MyNumber,YourNumber,Score
8,2,13,5,8,3,7,8,5,4,1,8,4,20
2,9,11,2,6,13,10,7,6,9,8,9,10,21
8,11,10,4,9,12,3,9,2,10,4,4,4,16
9,3,1,3,2,2,7,4,11,10,4,3,10,0
5,4,9,5,2,12,9,7,6,11,12,2,12,19
5,8,4,9,5,13,12,7,3,11,8,13,12,0
11,8,7,9,8,2,5,3,4,7,2,8,2,21
10,9,1,2,5,8,6,2,10,3,13,5,10,0
4,11,6,12,5,9,6,11,5,12,8,12,6,0
1,7,13,6,13,5,5,5,13,7,8,6,5,12

